22:45:55:386 [ALWAYS]	GUDE Logging Started
22:45:55:386 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:45:55:386 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:45:55:386 [ERROR]	Initialize resume cache pointer failure
22:45:55:387 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:45:55:388 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:46:10:304 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:46:10:304 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:46:10:304 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:46:10:306 [ERROR]	Initialize resume cache pointer failure
22:46:10:306 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:46:10:306 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
